Loyalty#,First Name,Last Name,Customer Name,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Re_engaged_people,Days_with_us,Days_until_reengagement
157005,Tanika,Quire,Tanika Quire,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Rural,91182.0,Married,Star,2019-10-31,,3890.87,Standard,False,2181,
557752,Sherilyn,Fujikawa,Sherilyn Fujikawa,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,female,Bachelor,Suburban,91182.0,Married,Star,2020-10-09,,3890.87,Standard,False,1837,
608758,Rhona,Interiano,Rhona Interiano,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,male,Bachelor,Rural,43578.0,Married,Star,2016-07-15,,3890.96,Standard,False,3384,
599341,Shaunna,Books,Shaunna Books,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,Bachelor,Rural,31409.0,Married,Star,2018-11-22,,3891.54,Standard,False,2524,
333502,Shawnda,Valladares,Shawnda Valladares,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Urban,0.0,Married,Star,2017-03-04,,3891.58,Standard,False,3152,
201574,Trudy,Roscoe,Trudy Roscoe,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Suburban,26605.0,Married,Star,2018-04-06,2018-12-06,3893.31,Standard,False,244,
403361,Inell,Zeno,Inell Zeno,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,male,Bachelor,Rural,52361.0,Single,Star,2020-10-24,,3895.03,Standard,False,1822,
543918,Penni,Gess,Penni Gess,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,male,High School or Below,Urban,10853.0,Married,Star,2015-11-19,,3896.57,Standard,False,3623,
806030,Rasheeda,Simenson,Rasheeda Simenson,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,female,Bachelor,Urban,60068.0,Married,Star,2021-05-03,,3903.47,Standard,False,1631,
119200,Bari,Seraille,Bari Seraille,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Rural,51833.0,Divorced,Star,2020-05-08,,3903.8,Standard,False,1991,
175967,Jolyn,Podvin,Jolyn Podvin,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Suburban,60230.0,Married,Star,2021-02-15,,3906.67,2021 Promotion,False,1708,
238119,Aundrea,Difranco,Aundrea Difranco,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Rural,60230.0,Married,Star,2016-05-19,,3906.67,Standard,False,3441,
730388,Gaynelle,Garnette,Gaynelle Garnette,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,College,Rural,0.0,Single,Star,2015-05-02,,3907.03,Standard,False,3824,
834891,Wendell,Besley,Wendell Besley,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,30821.0,Married,Star,2020-03-08,2020-04-18,3911.12,Standard,False,41,
127400,Cassandra,Easlick,Cassandra Easlick,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,2017-06-26,,3914.72,Standard,False,3038,
324557,Bethanie,Kolander,Bethanie Kolander,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,College,Urban,0.0,Single,Star,2016-02-24,,3914.72,Standard,False,3526,
742002,Carolyne,Purdue,Carolyne Purdue,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Urban,0.0,Single,Star,2019-05-15,,3915.8,Standard,False,2350,
536567,Clint,Maravilla,Clint Maravilla,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,male,Bachelor,Suburban,66676.0,Married,Star,2019-05-12,,3919.37,Standard,False,2353,
704835,Elvina,Kurtich,Elvina Kurtich,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Urban,66676.0,Married,Star,2019-09-17,,3919.37,Standard,False,2225,
733338,Raphael,Muskrat,Raphael Muskrat,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Rural,66676.0,Married,Star,2019-06-03,2020-02-03,3919.37,Standard,False,245,
758635,Stephany,Loft,Stephany Loft,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Suburban,66676.0,Married,Star,2021-06-20,,3919.37,Standard,False,1583,
823048,Echo,Wendy,Echo Wendy,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,66676.0,Married,Star,2021-05-09,,3919.37,Standard,False,1625,
612905,Frankie,Lapitan,Frankie Lapitan,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Rural,0.0,Married,Star,2018-02-28,,3920.51,Standard,False,2791,
679908,Deon,Biery,Deon Biery,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,Bachelor,Rural,62445.0,Married,Star,2018-08-15,,3921.02,Standard,False,2623,
704150,Raymond,Hokkanen,Raymond Hokkanen,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,male,Bachelor,Urban,62445.0,Married,Star,2017-10-27,,3921.02,Standard,False,2915,
869743,Sima,Parton,Sima Parton,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,Bachelor,Suburban,56480.0,Single,Star,2019-11-10,2020-07-10,3924.42,Standard,False,243,
596179,Kathryne,Kloeck,Kathryne Kloeck,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,Bachelor,Suburban,25927.0,Single,Star,2017-03-28,,3933.81,Standard,False,3128,
370450,Cathryn,Sundell,Cathryn Sundell,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,High School or Below,Urban,20920.0,Married,Star,2015-11-02,,3934.1,Standard,False,3640,
501030,Ciera,Kalfa,Ciera Kalfa,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,84229.0,Married,Star,2020-03-25,,3934.71,Standard,False,2035,
878633,Victor,Toplin,Victor Toplin,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Rural,19245.0,Married,Star,2016-12-02,,3936.79,Standard,False,3244,
285938,Glen,Randall,Glen Randall,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,Bachelor,Suburban,60021.0,Married,Star,2017-09-03,,3939.01,Standard,False,2969,
588237,Teresia,Mckendry,Teresia Mckendry,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,male,Bachelor,Rural,60021.0,Married,Star,2016-11-25,,3939.01,Standard,False,3251,
645280,Natalya,Boardwine,Natalya Boardwine,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,male,Bachelor,Suburban,60021.0,Married,Star,2015-12-15,,3939.01,Standard,False,3597,
864324,Cherri,Flavell,Cherri Flavell,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Rural,60021.0,Married,Star,2021-06-03,,3939.01,Standard,False,1600,
124678,Eddie,Ribsamen,Eddie Ribsamen,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,male,Doctor,Urban,18375.0,Married,Star,2016-06-13,,3954.34,Standard,False,3416,
186015,Florrie,Thach,Florrie Thach,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Rural,18375.0,Married,Star,2018-09-05,,3954.34,Standard,False,2602,
461108,Polly,Mayville,Polly Mayville,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Doctor,Urban,18375.0,Married,Star,2021-10-15,,3954.34,Standard,False,1466,
589580,Elodia,Kieffer,Elodia Kieffer,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Doctor,Suburban,18375.0,Married,Star,2018-08-27,,3954.34,Standard,False,2611,
623688,Dwayne,Cimaglia,Dwayne Cimaglia,Ontario,London,42.984924,-81.245277,M5B 3E4,female,Doctor,Rural,18375.0,Married,Star,2019-05-07,,3954.34,Standard,False,2358,
751616,Rocco,Niederhauser,Rocco Niederhauser,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Suburban,18375.0,Married,Star,2021-04-17,,3954.34,2021 Promotion,False,1647,
256147,Joleen,Gessford,Joleen Gessford,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Suburban,0.0,Married,Star,2015-09-04,,3958.0,Standard,False,3699,
329382,Ngoc,Dubuisson,Ngoc Dubuisson,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,College,Suburban,0.0,Single,Star,2015-08-27,,3961.59,2021 Promotion,False,3707,
140392,Hilary,Shain,Hilary Shain,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,88701.0,Married,Star,2016-07-22,,3963.39,Standard,False,3377,
541008,Jeanmarie,Resch,Jeanmarie Resch,Ontario,London,42.984924,-81.245277,M5B 3E4,male,Bachelor,Suburban,38096.0,Divorced,Star,2021-04-04,,3963.4,2021 Promotion,False,1660,
230908,Carmelia,Burkham,Carmelia Burkham,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Suburban,23474.0,Divorced,Star,2015-05-27,,3964.15,Standard,False,3799,
972581,Quiana,Ciolli,Quiana Ciolli,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,High School or Below,Rural,14616.0,Married,Star,2019-02-13,,3964.53,Standard,False,2441,
357549,Elisha,Furna,Elisha Furna,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Rural,60817.0,Single,Star,2021-09-21,2019-05-21,3964.73,Standard,True,1490,854
157729,Tobi,Kriss,Tobi Kriss,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,male,Bachelor,Rural,72439.0,Married,Star,2021-03-18,,3966.13,2021 Promotion,False,1677,
910875,Alaina,Rumble,Alaina Rumble,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Bachelor,Urban,72439.0,Married,Star,2015-11-03,,3966.13,Standard,False,3639,
501704,Jadwiga,Howry,Jadwiga Howry,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,College,Suburban,0.0,Divorced,Star,2016-05-03,,3974.86,Standard,False,3457,
529098,Sherril,Roofner,Sherril Roofner,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Urban,0.0,Divorced,Star,2020-10-23,,3974.86,Standard,False,1823,
265297,Ebonie,Radde,Ebonie Radde,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,39101.0,Married,Star,2021-07-17,2019-03-17,3978.67,Standard,True,1556,853
567875,Lady,Tlumacki,Lady Tlumacki,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Suburban,96413.0,Married,Star,2020-05-15,,3979.72,Standard,False,1984,
688524,Darius,Dehnert,Darius Dehnert,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,98333.0,Married,Star,2016-03-26,,3980.42,Standard,False,3495,
269070,Virginia,Swida,Virginia Swida,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Master,Rural,17220.0,Married,Star,2016-01-14,,3985.32,Standard,False,3567,
387705,Paulene,Saluan,Paulene Saluan,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Master,Suburban,17220.0,Married,Star,2016-04-30,,3985.32,Standard,False,3460,
923293,Lauretta,Craze,Lauretta Craze,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,male,Bachelor,Suburban,75007.0,Divorced,Star,2019-06-12,,3985.55,Standard,False,2322,
283314,Vi,Scialdone,Vi Scialdone,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Suburban,54964.0,Married,Star,2016-04-17,2018-02-03,3991.73,Standard,False,657,
322102,Hermelinda,Hilst,Hermelinda Hilst,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Suburban,0.0,Married,Star,2016-08-19,2017-04-19,3992.58,Standard,False,243,
789157,Lenora,Millhiser,Lenora Millhiser,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Rural,0.0,Single,Star,2021-09-25,,3995.36,Standard,False,1486,
654748,Lona,Hyer,Lona Hyer,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Rural,46210.0,Married,Star,2020-04-03,2020-12-03,3996.77,Standard,False,244,
984713,Remedios,Swinea,Remedios Swinea,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,College,Suburban,0.0,Single,Star,2021-08-04,,3997.48,Standard,False,1538,
114835,Willard,Powal,Willard Powal,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Master,Suburban,19782.0,Divorced,Star,2020-07-03,,4001.52,Standard,False,1935,
328936,Yvonne,Tear,Yvonne Tear,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Suburban,28987.0,Married,Star,2018-03-21,,4005.72,Standard,False,2770,
845864,Josue,Disalvi,Josue Disalvi,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Doctor,Urban,15413.0,Married,Star,2016-04-24,,4013.85,Standard,False,3466,
645265,Stella,Nageotte,Stella Nageotte,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,56586.0,Married,Star,2016-03-05,,4013.95,Standard,False,3516,
223587,Nelia,Gallipo,Nelia Gallipo,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Rural,93284.0,Married,Star,2020-08-20,,4013.96,Standard,False,1887,
158560,Hulda,Kvam,Hulda Kvam,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,Bachelor,Suburban,37384.0,Married,Star,2018-12-11,,4014.45,Standard,False,2505,
417584,Lucina,Moncion,Lucina Moncion,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Suburban,37384.0,Married,Star,2017-05-17,,4014.45,Standard,False,3078,
566033,Cruz,Arlt,Cruz Arlt,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,male,College,Urban,0.0,Married,Star,2018-06-16,2019-07-23,4015.21,Standard,False,402,
957912,Lacy,Georgopoulos,Lacy Georgopoulos,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,80055.0,Married,Star,2021-02-17,,4015.34,2021 Promotion,False,1706,
425854,Tobi,Sather,Tobi Sather,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,High School or Below,Rural,10074.0,Married,Star,2019-11-22,,4016.13,Standard,False,2159,
174896,Freeman,Decristoforo,Freeman Decristoforo,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,College,Urban,0.0,Single,Star,2018-04-16,2018-12-16,4016.54,Standard,False,244,
695855,Mac,Dering,Mac Dering,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,College,Suburban,0.0,Divorced,Star,2016-04-07,,4019.38,Standard,False,3483,
699511,Tiffany,Baradi,Tiffany Baradi,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,College,Rural,0.0,Divorced,Star,2017-07-06,,4019.38,Standard,False,3028,
377322,Lura,Blyden,Lura Blyden,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Urban,41833.0,Married,Star,2019-05-08,,4023.81,Standard,False,2357,
511053,Meghan,Douyon,Meghan Douyon,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Suburban,41833.0,Married,Star,2018-03-13,,4023.81,Standard,False,2778,
890753,Faustina,Sempek,Faustina Sempek,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,College,Urban,0.0,Married,Star,2020-09-02,,4025.1,Standard,False,1874,
796670,Maryetta,Castera,Maryetta Castera,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Suburban,21359.0,Married,Star,2017-02-12,,4035.68,Standard,False,3172,
556136,Grisel,Kapps,Grisel Kapps,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,College,Rural,0.0,Married,Star,2020-01-25,,4035.77,Standard,False,2095,
513081,Louis,Beaucage,Louis Beaucage,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Rural,90760.0,Married,Star,2018-11-05,,4037.5,Standard,False,2541,
930718,Willena,Ledee,Willena Ledee,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,High School or Below,Suburban,21586.0,Married,Star,2018-07-14,,4037.55,Standard,False,2655,
235872,Ima,Ghiloni,Ima Ghiloni,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,Doctor,Urban,13330.0,Single,Star,2016-03-20,,4046.94,Standard,False,3501,
881142,Luanna,Hatlee,Luanna Hatlee,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,female,Doctor,Suburban,13330.0,Single,Star,2019-09-27,2020-05-27,4046.94,Standard,False,243,
295147,Timothy,Loli,Timothy Loli,British Columbia,Kelowna,49.887951,-119.49601,V09 2E9,male,Bachelor,Urban,92801.0,Married,Star,2020-05-21,,4048.16,Standard,False,1978,
306110,Janel,Ynocencio,Janel Ynocencio,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,44661.0,Married,Star,2016-05-12,,4053.37,Standard,False,3448,
295217,Ruthanne,Cavicchi,Ruthanne Cavicchi,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Doctor,Urban,11621.0,Divorced,Star,2019-06-06,,4059.57,Standard,False,2328,
711363,Mariella,Corkron,Mariella Corkron,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,male,College,Suburban,0.0,Married,Star,2021-04-24,2021-12-24,4064.11,2021 Promotion,False,244,
591731,Mindy,Sadee,Mindy Sadee,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,male,Bachelor,Rural,26599.0,Married,Star,2016-09-25,,4064.18,Standard,False,3312,
326905,Joel,Guyette,Joel Guyette,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,College,Urban,0.0,Married,Star,2020-02-07,,4068.09,Standard,False,2082,
375511,Brandon,Geissler,Brandon Geissler,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Urban,37435.0,Single,Star,2017-07-06,,4070.05,Standard,False,3028,
485283,Magali,Bilich,Magali Bilich,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,96443.0,Single,Star,2020-09-05,,4072.85,Standard,False,1871,
760158,Claudette,Ganga,Claudette Ganga,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,29549.0,Divorced,Star,2021-02-18,,4076.63,2021 Promotion,False,1705,
797685,Malka,Policicchio,Malka Policicchio,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Suburban,0.0,Married,Star,2020-06-03,,4079.13,Standard,False,1965,
216467,Misti,Hussein,Misti Hussein,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,male,Doctor,Suburban,13483.0,Married,Star,2017-07-13,,4083.56,Standard,False,3021,
958839,Carleen,Isaac,Carleen Isaac,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,Doctor,Rural,13483.0,Married,Star,2021-08-16,,4083.56,Standard,False,1526,
539673,Song,Wiesen,Song Wiesen,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,Bachelor,Urban,24123.0,Married,Star,2018-02-20,2021-06-06,4087.51,Standard,False,1202,
484718,Rubi,Mccluney,Rubi Mccluney,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,60759.0,Single,Star,2015-06-24,,4089.46,Standard,False,3771,
528492,Lynn,Chestnut,Lynn Chestnut,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,38884.0,Married,Star,2018-06-09,2021-11-18,4090.75,Standard,False,1258,
995091,Devon,Arns,Devon Arns,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Suburban,32180.0,Married,Star,2020-09-15,,4095.2,Standard,False,1861,
632793,Kenneth,Mcfan,Kenneth Mcfan,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,High School or Below,Suburban,20079.0,Single,Star,2019-06-21,,4097.37,Standard,False,2313,
912220,Jammie,Hyon,Jammie Hyon,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,High School or Below,Suburban,20079.0,Single,Star,2016-08-18,2017-04-18,4097.37,Standard,False,243,
382197,Marianne,Kirtley,Marianne Kirtley,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Rural,51193.0,Married,Star,2020-10-30,2021-06-30,4100.47,Standard,False,243,
705196,Eddy,Bitner,Eddy Bitner,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,2016-11-26,,4101.94,Standard,False,3250,
123094,Clara,Driesenga,Clara Driesenga,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Urban,82427.0,Married,Star,2021-01-16,,4103.85,Standard,False,1738,
821515,Tabitha,Forkey,Tabitha Forkey,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,female,Bachelor,Rural,39492.0,Married,Star,2021-03-12,,4105.58,2021 Promotion,False,1683,
119488,Britteny,Course,Britteny Course,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,College,Suburban,0.0,Single,Star,2020-06-27,,4108.26,Standard,False,1941,
287750,Angella,Kuchta,Angella Kuchta,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,College,Rural,0.0,Single,Star,2015-08-21,,4109.31,Standard,False,3713,
735846,Warner,Brogley,Warner Brogley,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Rural,86657.0,Married,Star,2015-08-31,,4109.79,Standard,False,3703,
606026,Joyce,Cocca,Joyce Cocca,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Suburban,31842.0,Single,Star,2018-07-24,,4110.62,Standard,False,2645,
460291,Yolando,Pecue,Yolando Pecue,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,Bachelor,Urban,32210.0,Divorced,Star,2018-09-02,,4111.2,Standard,False,2605,
743001,Verdell,Mcdearmon,Verdell Mcdearmon,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Suburban,65085.0,Married,Star,2020-05-14,,4111.89,Standard,False,1985,
869799,Calista,Brucken,Calista Brucken,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,female,Bachelor,Urban,65085.0,Married,Star,2018-03-17,,4111.89,Standard,False,2774,
